Symbol,Date,Expiry,futures_price
BANKNIFTY,28-Jul-17,31-Aug-17,24934.25
AXISBANK,28-Jul-17,31-Aug-17,518.15
HDFCBANK,28-Jul-17,31-Aug-17,1783.45
ICICIBANK,28-Jul-17,31-Aug-17,298.3
KOTAKBANK,28-Jul-17,31-Aug-17,1018.15
SBIN,28-Jul-17,31-Aug-17,301.05
BANKNIFTY,31-Jul-17,31-Aug-17,25135.05
AXISBANK,31-Jul-17,31-Aug-17,521.3
HDFCBANK,31-Jul-17,31-Aug-17,1778.75
ICICIBANK,31-Jul-17,31-Aug-17,303.95
KOTAKBANK,31-Jul-17,31-Aug-17,1023.9
SBIN,31-Jul-17,31-Aug-17,313.55
BANKNIFTY,01-Aug-17,31-Aug-17,25195.35
AXISBANK,01-Aug-17,31-Aug-17,519.5
HDFCBANK,01-Aug-17,31-Aug-17,1795.95
ICICIBANK,01-Aug-17,31-Aug-17,304.3
KOTAKBANK,01-Aug-17,31-Aug-17,1019.9
SBIN,01-Aug-17,31-Aug-17,310.65
BANKNIFTY,02-Aug-17,31-Aug-17,25133.85
AXISBANK,02-Aug-17,31-Aug-17,518
HDFCBANK,02-Aug-17,31-Aug-17,1792.05
ICICIBANK,02-Aug-17,31-Aug-17,302.95
KOTAKBANK,02-Aug-17,31-Aug-17,1017.35
SBIN,02-Aug-17,31-Aug-17,309.65
BANKNIFTY,03-Aug-17,31-Aug-17,24807
AXISBANK,03-Aug-17,31-Aug-17,509.25
HDFCBANK,03-Aug-17,31-Aug-17,1785.3
ICICIBANK,03-Aug-17,31-Aug-17,297.6
KOTAKBANK,03-Aug-17,31-Aug-17,1002.9
SBIN,03-Aug-17,31-Aug-17,302.6
BANKNIFTY,04-Aug-17,31-Aug-17,24951.15
AXISBANK,04-Aug-17,31-Aug-17,510.45
HDFCBANK,04-Aug-17,31-Aug-17,1796.85
ICICIBANK,04-Aug-17,31-Aug-17,298.2
KOTAKBANK,04-Aug-17,31-Aug-17,1001.95
SBIN,04-Aug-17,31-Aug-17,307
BANKNIFTY,07-Aug-17,31-Aug-17,24998.05
AXISBANK,07-Aug-17,31-Aug-17,508.9
HDFCBANK,07-Aug-17,31-Aug-17,1790.25
ICICIBANK,07-Aug-17,31-Aug-17,301.8
KOTAKBANK,07-Aug-17,31-Aug-17,1000.85
SBIN,07-Aug-17,31-Aug-17,312.7
BANKNIFTY,08-Aug-17,31-Aug-17,24693.4
AXISBANK,08-Aug-17,31-Aug-17,500.65
HDFCBANK,08-Aug-17,31-Aug-17,1779.6
ICICIBANK,08-Aug-17,31-Aug-17,296.9
KOTAKBANK,08-Aug-17,31-Aug-17,991.85
SBIN,08-Aug-17,31-Aug-17,305.55
BANKNIFTY,09-Aug-17,31-Aug-17,24473.4
AXISBANK,09-Aug-17,31-Aug-17,489.6
HDFCBANK,09-Aug-17,31-Aug-17,1768.15
ICICIBANK,09-Aug-17,31-Aug-17,292.2
KOTAKBANK,09-Aug-17,31-Aug-17,995.85
SBIN,09-Aug-17,31-Aug-17,303.6
BANKNIFTY,10-Aug-17,31-Aug-17,24306.3
AXISBANK,10-Aug-17,31-Aug-17,488.5
HDFCBANK,10-Aug-17,31-Aug-17,1765.9
ICICIBANK,10-Aug-17,31-Aug-17,290.5
KOTAKBANK,10-Aug-17,31-Aug-17,995.8
SBIN,10-Aug-17,31-Aug-17,297.7
BANKNIFTY,11-Aug-17,31-Aug-17,24085.6
AXISBANK,11-Aug-17,31-Aug-17,491.85
HDFCBANK,11-Aug-17,31-Aug-17,1756.3
ICICIBANK,11-Aug-17,31-Aug-17,288.3
KOTAKBANK,11-Aug-17,31-Aug-17,993.25
SBIN,11-Aug-17,31-Aug-17,281.25
BANKNIFTY,14-Aug-17,31-Aug-17,24207.2
AXISBANK,14-Aug-17,31-Aug-17,494
HDFCBANK,14-Aug-17,31-Aug-17,1764.5
ICICIBANK,14-Aug-17,31-Aug-17,292.55
KOTAKBANK,14-Aug-17,31-Aug-17,986.85
SBIN,14-Aug-17,31-Aug-17,279.3
BANKNIFTY,16-Aug-17,31-Aug-17,24475.1
AXISBANK,16-Aug-17,31-Aug-17,500.85
HDFCBANK,16-Aug-17,31-Aug-17,1779.9
ICICIBANK,16-Aug-17,31-Aug-17,295.4
KOTAKBANK,16-Aug-17,31-Aug-17,1000.7
SBIN,16-Aug-17,31-Aug-17,284.15
BANKNIFTY,17-Aug-17,31-Aug-17,24262.15
AXISBANK,17-Aug-17,31-Aug-17,497.7
HDFCBANK,17-Aug-17,31-Aug-17,1764.9
ICICIBANK,17-Aug-17,31-Aug-17,294.5
KOTAKBANK,17-Aug-17,31-Aug-17,989.95
SBIN,17-Aug-17,31-Aug-17,281.8
BANKNIFTY,18-Aug-17,31-Aug-17,24097
