Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,futures_price
NIFTY,03-Oct-17,28-Dec-17,PE,8750,0,0,0,6.55,0,3.35,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8800,0,0,0,119.7,119.7,4.3,0,0,0,170275,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8550,0,0,0,2.5,0,1.1,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8600,0,0,0,41.3,41.3,1.5,0,0,0,144875,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8650,0,0,0,4.1,0,1.95,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8400,0,0,0,66.4,66.4,0.45,0,0,0,5625,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8450,0,0,0,1.45,0,0.6,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8500,18.6,18.6,17,17.2,17.25,17.2,47,300.24,0.62,539275,1275,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8250,0,0,0,0.45,0,0.2,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8300,0,0,0,18,18,0.25,0,0,0,92175,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8350,0,0,0,0.85,0,0.35,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,7900,0,0,0,3.1,3.1,0.05,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8000,8.75,10.95,8.75,10,10,10,77,462.57,0.57,543775,-2325,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8100,0,0,0,11,11,0.05,0,0,0,93900,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,8200,0,0,0,701.8,701.8,0.15,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,7700,0,0,0,239,0,0,0,0,0,0,0,9934
NIFTY,03-Oct-17,28-Dec-17,PE,7800,0,0,0,5.55,5.55,0,0,0,0,20250,0,9934
