Date,AAPL,BABA,BAC,GOOG,GS,IBM,TSLA
2015-12-31,105,81,16,758,180,137,240
2016-01-04,105,76,16,741,177,135,223
2016-01-05,102,78,16,742,174,135,223
2016-01-06,100,77,16,743,169,135,219
2016-01-07,96,72,15,726,164,132,215
2016-01-08,96,70,15,714,163,131,211
2016-01-11,98,69,15,716,165,133,207
2016-01-12,99,72,15,726,165,132,209
2016-01-13,97,70,14,700,158,131,200
2016-01-14,99,72,14,714,161,132,206
2016-01-15,97,69,14,694,155,130,204
2016-01-19,96,70,14,701,156,128,204
2016-01-20,96,68,13,698,153,121,198
2016-01-21,96,70,13,706,151,122,199
2016-01-22,101,70,13,725,156,122,202
2016-01-25,99,69,12,711,151,122,196
2016-01-26,99,69,13,713,154,122,193
2016-01-27,93,69,13,699,153,120,188
2016-01-28,94,66,13,730,157,122,189
2016-01-29,97,67,14,742,161,124,191
2016-02-01,96,67,13,752,159,124,196
2016-02-02,94,65,13,764,151,122,182
2016-02-03,96,63,13,726,152,124,173
2016-02-04,96,64,13,708,156,127,175
2016-02-05,94,62,12,683,156,128,162
2016-02-08,95,61,12,682,149,126,147
2016-02-09,94,61,12,678,148,124,148
2016-02-10,94,61,11,684,147,120,143
2016-02-11,93,60,11,683,140,117,150
2016-02-12,93,60,11,682,146,121,151
2016-02-16,96,66,12,691,149,122,155
2016-02-17,98,66,12,708,150,126,168
2016-02-18,96,66,12,697,147,132,166
2016-02-19,96,67,12,700,146,133,166
2016-02-22,96,68,12,706,148,133,177
2016-02-23,94,66,12,695,144,132,177
2016-02-24,96,67,12,699,145,132,179
2016-02-25,96,66,12,705,148,134,187
2016-02-26,96,66,12,705,150,132,190
2016-02-29,96,68,12,697,149,131,191
2016-03-01,100,70,13,718,154,134,186
2016-03-02,100,71,13,718,154,136,188
2016-03-03,101,71,13,712,155,137,195
2016-03-04,103,72,13,710,156,137,201
2016-03-07,101,72,13,695,155,140,205
2016-03-08,101,71,13,693,151,139,202
2016-03-09,101,72,13,705,149,140,208
2016-03-10,101,71,13,712,151,140,205
2016-03-11,102,74,13,726,153,142,207
2016-03-14,102,73,13,730,153,142,215
2016-03-15,104,72,13,728,152,142,218
2016-03-16,105,73,13,736,150,144,221
2016-03-17,105,74,13,737,152,147,226
2016-03-18,105,76,13,737,157,147,232
2016-03-21,105,78,13,742,156,148,238
2016-03-22,106,78,13,740,154,148,234
2016-03-23,106,76,13,738,154,145,222
2016-03-24,105,75,13,735,153,147,227
2016-03-28,105,76,13,733,153,148,230
2016-03-29,107,78,13,744,155,149,230
2016-03-30,109,78,13,750,156,148,226
2016-03-31,108,79,13,744,156,151,229
2016-04-01,109,78,13,749,159,152,237
2016-04-04,111,79,13,745,157,152,246
2016-04-05,109,77,13,737,155,150,255
2016-04-06,110,78,13,745,155,150,265
2016-04-07,108,77,12,740,150,148,257
2016-04-08,108,77,12,739,150,149,250
2016-04-11,109,77,12,736,152,149,249
2016-04-12,110,77,13,743,154,149,247
2016-04-13,112,79,13,751,159,151,254
2016-04-14,112,79,14,753,160,151,251
2016-04-15,109,78,14,759,158,151,254
2016-04-18,107,79,14,766,159,152,253
2016-04-19,106,79,14,753,162,144,247
2016-04-20,107,81,14,752,166,146,249
2016-04-21,105,80,14,759,165,149,248
2016-04-22,105,79,15,718,166,148,253
2016-04-25,105,78,14,723,165,148,251
2016-04-26,104,78,15,708,165,149,253
2016-04-27,97,77,15,705,166,150,251
2016-04-28,94,76,14,691,164,147,247
2016-04-29,93,76,14,693,164,145,240
2016-05-02,93,76,14,698,166,145,241
2016-05-03,95,75,14,692,163,144,232
2016-05-04,94,75,14,695,160,144,222
2016-05-05,93,78,14,701,159,146,211
2016-05-06,92,79,14,711,158,147,214
2016-05-09,92,79,13,712,157,147,208
2016-05-10,93,79,14,723,161,149,208
2016-05-11,92,79,14,715,159,148,208
