Date,Realised_PNL
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-12,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,0.0
2021-03-25,0.0
2021-03-26,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-15,-1188.3488769531227
2021-04-16,-1188.3488769531227
2021-04-19,-1188.3488769531227
2021-04-20,-1188.3488769531227
2021-04-22,-1188.3488769531227
2021-04-23,-1188.3488769531227
2021-04-26,-1188.3488769531227
2021-04-27,-1188.3488769531227
2021-04-28,-1181.8917410714264
2021-04-29,-1165.43460518973
2021-04-30,-1170.6774204799087
2021-05-03,-1181.4202357700874
2021-05-04,-1178.963099888391
2021-05-05,-1189.4059884207575
2021-05-06,-1195.9488525390614
2021-05-07,-1195.9488525390614
2021-05-10,-1195.9488525390614
2021-05-11,-1195.9488525390614
2021-05-12,-1195.9488525390614
2021-05-14,-1195.9488525390614
2021-05-17,-1195.9488525390614
2021-05-18,-1195.9488525390614
2021-05-19,-1195.9488525390614
2021-05-20,-1195.9488525390614
2021-05-21,-1195.9488525390614
2021-05-24,-1195.9488525390614
2021-05-25,-1195.9488525390614
2021-05-26,-1195.9488525390614
2021-05-27,-1195.9488525390614
2021-05-28,-1195.9488525390614
2021-05-31,-1195.9488525390614
2021-06-01,-1195.9488525390614
2021-06-02,-1195.9488525390614
2021-06-03,-1195.9488525390614
2021-06-04,-1195.9488525390614
2021-06-07,-1195.9488525390614
2021-06-08,-1195.9488525390614
2021-06-09,-1195.9488525390614
2021-06-10,-1195.9488525390614
2021-06-11,-1195.9488525390614
2021-06-14,-1195.9488525390614
2021-06-15,-1195.9488525390614
2021-06-16,-1195.9488525390614
2021-06-17,-1195.9488525390614
2021-06-18,-1195.9488525390614
2021-06-21,-1195.9488525390614
2021-06-22,-1195.9488525390614
2021-06-23,-1195.9488525390614
2021-06-24,-1195.9488525390614
2021-06-25,-1195.9488525390614
2021-06-28,-1195.9488525390614
2021-06-29,-1195.9488525390614
2021-06-30,-1195.9488525390614
2021-07-01,-1195.9488525390614
2021-07-02,-1195.9488525390614
2021-07-05,-1195.9488525390614
2021-07-06,-1195.9488525390614
2021-07-07,-1195.9488525390614
2021-07-08,-1195.9488525390614
2021-07-09,-1195.9488525390614
2021-07-12,-1195.9488525390614
2021-07-13,-1195.9488525390614
2021-07-14,-1195.9488525390614
2021-07-15,-1195.9488525390614
2021-07-16,-1195.9488525390614
2021-07-19,-1195.9488525390614
2021-07-20,-1195.9488525390614
2021-07-22,-1195.9488525390614
2021-07-23,-1195.9488525390614
2021-07-26,-1195.9488525390614
2021-07-27,-1195.9488525390614
2021-07-28,-1195.9488525390614
2021-07-29,-1195.9488525390614
2021-07-30,-1195.9488525390614
2021-08-02,-1195.9488525390614
2021-08-03,-1195.9488525390614
2021-08-04,-1195.9488525390614
2021-08-05,-1195.9488525390614
2021-08-06,-1195.9488525390614
2021-08-09,-1195.9488525390614
2021-08-10,-1195.9488525390614
2021-08-11,-1195.9488525390614
2021-08-12,-1195.9488525390614
2021-08-13,-1195.9488525390614
