,BuypriceChangeBarrier,maxProftBarrier,delta,Total_Profit,Total_Brokerrage,Total_Transactions
0,-0.001,0.01,0.02,32415,8050,161
1,-0.001,0.009,0.02,61575,8150,163
2,-0.001,0.008,0.02,15000,8700,174
3,-0.001,0.007,0.02,3675,8800,176
4,-0.001,0.006,0.02,-12780,8800,176
5,-0.001,0.005,0.02,-24750,8800,176
6,-0.001,0.004,0.02,-10620,9150,183
7,-0.001,0.003,0.02,22575,9450,189
8,-0.001,0.002,0.02,270,9600,192
9,-0.001,0.01,0.019,32415,8050,161
10,-0.001,0.009,0.019,61575,8150,163
11,-0.001,0.008,0.019,15000,8700,174
12,-0.001,0.007,0.019,3675,8800,176
13,-0.001,0.006,0.019,-12780,8800,176
14,-0.001,0.005,0.019,-24750,8800,176
15,-0.001,0.004,0.019,-10620,9150,183
16,-0.001,0.003,0.019,22575,9450,189
17,-0.001,0.002,0.019,270,9600,192
18,-0.001,0.01,0.018,32415,8050,161
19,-0.001,0.009,0.018,61575,8150,163
20,-0.001,0.008,0.018,15000,8700,174
21,-0.001,0.007,0.018,3675,8800,176
22,-0.001,0.006,0.018,-12780,8800,176
23,-0.001,0.005,0.018,-24750,8800,176
24,-0.001,0.004,0.018,-10620,9150,183
25,-0.001,0.003,0.018,22575,9450,189
26,-0.001,0.002,0.018,270,9600,192
27,-0.001,0.01,0.017,32415,8050,161
28,-0.001,0.009,0.017,61575,8150,163
29,-0.001,0.008,0.017,15000,8700,174
30,-0.001,0.007,0.017,3675,8800,176
31,-0.001,0.006,0.017,-12780,8800,176
32,-0.001,0.005,0.017,-24750,8800,176
33,-0.001,0.004,0.017,-10620,9150,183
34,-0.001,0.003,0.017,22575,9450,189
35,-0.001,0.002,0.017,270,9600,192
36,-0.001,0.01,0.016,35550,8050,161
37,-0.001,0.009,0.016,64710,8150,163
38,-0.001,0.008,0.016,22350,8650,173
39,-0.001,0.007,0.016,11025,8750,175
40,-0.001,0.006,0.016,-5430,8750,175
41,-0.001,0.005,0.016,-17400,8750,175
42,-0.001,0.004,0.016,-3270,9100,182
43,-0.001,0.003,0.016,29925,9400,188
44,-0.001,0.002,0.016,7620,9550,191
45,-0.001,0.01,0.015,35550,8050,161
46,-0.001,0.009,0.015,64710,8150,163
47,-0.001,0.008,0.015,22350,8650,173
48,-0.001,0.007,0.015,11025,8750,175
49,-0.001,0.006,0.015,-5430,8750,175
50,-0.001,0.005,0.015,-17400,8750,175
51,-0.001,0.004,0.015,-3270,9100,182
52,-0.001,0.003,0.015,29925,9400,188
53,-0.001,0.002,0.015,7620,9550,191
54,-0.001,0.01,0.014,50490,8000,160
55,-0.001,0.009,0.014,79650,8100,162
56,-0.001,0.008,0.014,37290,8600,172
57,-0.001,0.007,0.014,25965,8700,174
58,-0.001,0.006,0.014,9510,8700,174
59,-0.001,0.005,0.014,-2460,8700,174
60,-0.001,0.004,0.014,11670,9050,181
61,-0.001,0.003,0.014,29925,9400,188
62,-0.001,0.002,0.014,7620,9550,191
63,-0.001,0.01,0.013,83445,7850,157
64,-0.001,0.009,0.013,99465,7900,158
65,-0.001,0.008,0.013,59355,8500,170
66,-0.001,0.007,0.013,48030,8600,172
67,-0.001,0.006,0.013,31575,8600,172
68,-0.001,0.005,0.013,19605,8600,172
69,-0.001,0.004,0.013,33735,8950,179
70,-0.001,0.003,0.013,51990,9300,186
71,-0.001,0.002,0.013,37485,9400,188
72,-0.001,0.01,0.012,71550,7750,155
73,-0.001,0.009,0.012,101220,7750,155
74,-0.001,0.008,0.012,58860,8250,165
75,-0.001,0.007,0.012,47535,8350,167
76,-0.001,0.006,0.012,31080,8350,167
77,-0.001,0.005,0.012,44610,8400,168
78,-0.001,0.004,0.012,58740,8750,175
79,-0.001,0.003,0.012,63465,9000,180
80,-0.001,0.002,0.012,36945,9150,183
81,-0.001,0.01,0.011,57405,7600,152
82,-0.001,0.009,0.011,112290,7650,153
83,-0.001,0.008,0.011,69930,8150,163
84,-0.001,0.007,0.011,58605,8250,165
85,-0.001,0.006,0.011,42150,8250,165
86,-0.001,0.005,0.011,55680,8300,166
87,-0.001,0.004,0.011,69810,8650,173
88,-0.001,0.003,0.011,74535,8900,178
89,-0.001,0.002,0.011,52230,9050,181
90,-0.001,0.01,0.01,58950,7500,150
91,-0.001,0.009,0.01,115575,7550,151
92,-0.001,0.008,0.01,73215,8050,161
93,-0.001,0.007,0.01,60150,8150,163
94,-0.001,0.006,0.01,43695,8150,163
95,-0.001,0.005,0.01,57225,8200,164
96,-0.001,0.004,0.01,71355,8550,171
97,-0.001,0.003,0.01,42795,8700,174
98,-0.001,0.002,0.01,20490,8850,177
99,-0.001,0.01,0.009,52245,7500,150
100,-0.001,0.009,0.009,108870,7550,151
101,-0.001,0.008,0.009,66510,8050,161
102,-0.001,0.007,0.009,53445,8150,163
103,-0.001,0.006,0.009,36990,8150,163
104,-0.001,0.005,0.009,50520,8200,164
105,-0.001,0.004,0.009,64650,8550,171
106,-0.001,0.003,0.009,36090,8700,174
107,-0.001,0.002,0.009,13785,8850,177
108,-0.001,0.01,0.008,62325,7500,150
109,-0.001,0.009,0.008,114210,7450,149
110,-0.001,0.008,0.008,71850,7950,159
111,-0.001,0.007,0.008,58785,8050,161
112,-0.001,0.006,0.008,40005,8150,163
113,-0.001,0.005,0.008,53535,8200,164
114,-0.001,0.004,0.008,77025,8500,170
115,-0.001,0.003,0.008,49065,8550,171
116,-0.001,0.002,0.008,8745,8650,173
117,-0.001,0.01,0.007,30750,7450,149
118,-0.001,0.009,0.007,81195,7400,148
119,-0.001,0.008,0.007,38835,7900,158
120,-0.001,0.007,0.007,27210,8000,160
121,-0.001,0.006,0.007,8430,8100,162
122,-0.001,0.005,0.007,21960,8150,163
123,-0.001,0.004,0.007,45450,8450,169
124,-0.001,0.003,0.007,16890,8550,171
125,-0.001,0.002,0.007,-1410,8600,172
126,-0.001,0.01,0.006,-13395,7200,144
127,-0.001,0.009,0.006,43095,7150,143
128,-0.001,0.008,0.006,53445,7350,147
129,-0.001,0.007,0.006,41820,7450,149
130,-0.001,0.006,0.006,23040,7550,151
131,-0.001,0.005,0.006,39180,7700,154
132,-0.001,0.004,0.006,22080,8000,160
133,-0.001,0.003,0.006,18405,8000,160
134,-0.001,0.002,0.006,-4110,8100,162
135,-0.011,0.01,0.02,13740,5950,119
136,-0.011,0.009,0.02,25845,6200,124
137,-0.011,0.008,0.02,20130,6300,126
138,-0.011,0.007,0.02,14355,6400,128
139,-0.011,0.006,0.02,12105,6600,132
140,-0.011,0.005,0.02,1620,6850,137
141,-0.011,0.004,0.02,-135,7250,145
142,-0.011,0.003,0.02,-11400,7550,151
143,-0.011,0.002,0.02,-9000,7650,153
144,-0.011,0.01,0.019,13740,5950,119
145,-0.011,0.009,0.019,25845,6200,124
146,-0.011,0.008,0.019,20130,6300,126
147,-0.011,0.007,0.019,14355,6400,128
148,-0.011,0.006,0.019,12105,6600,132
149,-0.011,0.005,0.019,1620,6850,137
150,-0.011,0.004,0.019,-135,7250,145
151,-0.011,0.003,0.019,-11400,7550,151
152,-0.011,0.002,0.019,-9000,7650,153
153,-0.011,0.01,0.018,13740,5950,119
154,-0.011,0.009,0.018,25845,6200,124
155,-0.011,0.008,0.018,20130,6300,126
156,-0.011,0.007,0.018,14355,6400,128
157,-0.011,0.006,0.018,12105,6600,132
158,-0.011,0.005,0.018,1620,6850,137
159,-0.011,0.004,0.018,-135,7250,145
160,-0.011,0.003,0.018,-11400,7550,151
161,-0.011,0.002,0.018,-9000,7650,153
162,-0.011,0.01,0.017,13740,5950,119
163,-0.011,0.009,0.017,25845,6200,124
164,-0.011,0.008,0.017,20130,6300,126
165,-0.011,0.007,0.017,14355,6400,128
166,-0.011,0.006,0.017,12105,6600,132
167,-0.011,0.005,0.017,1620,6850,137
168,-0.011,0.004,0.017,-135,7250,145
169,-0.011,0.003,0.017,-11400,7550,151
170,-0.011,0.002,0.017,-9000,7650,153
171,-0.011,0.01,0.016,28050,5850,117
172,-0.011,0.009,0.016,40155,6100,122
173,-0.011,0.008,0.016,34440,6200,124
174,-0.011,0.007,0.016,28665,6300,126
175,-0.011,0.006,0.016,26415,6500,130
176,-0.011,0.005,0.016,15930,6750,135
177,-0.011,0.004,0.016,14175,7150,143
178,-0.011,0.003,0.016,2910,7450,149
179,-0.011,0.002,0.016,1095,7600,152
180,-0.011,0.01,0.015,28050,5850,117
181,-0.011,0.009,0.015,40155,6100,122
182,-0.011,0.008,0.015,34440,6200,124
183,-0.011,0.007,0.015,28665,6300,126
184,-0.011,0.006,0.015,26415,6500,130
185,-0.011,0.005,0.015,15930,6750,135
186,-0.011,0.004,0.015,14175,7150,143
187,-0.011,0.003,0.015,2910,7450,149
188,-0.011,0.002,0.015,1095,7600,152
189,-0.011,0.01,0.014,42990,5800,116
190,-0.011,0.009,0.014,55095,6050,121
191,-0.011,0.008,0.014,49380,6150,123
192,-0.011,0.007,0.014,43605,6250,125
193,-0.011,0.006,0.014,41355,6450,129
194,-0.011,0.005,0.014,30870,6700,134
195,-0.011,0.004,0.014,29115,7100,142
196,-0.011,0.003,0.014,2910,7450,149
197,-0.011,0.002,0.014,1095,7600,152
198,-0.011,0.01,0.013,69975,5650,113
199,-0.011,0.009,0.013,68940,5850,117
200,-0.011,0.008,0.013,63225,5950,119
201,-0.011,0.007,0.013,57450,6050,121
202,-0.011,0.006,0.013,55200,6250,125
203,-0.011,0.005,0.013,44715,6500,130
204,-0.011,0.004,0.013,42960,6900,138
205,-0.011,0.003,0.013,16755,7250,145
206,-0.011,0.002,0.013,10725,7400,148
207,-0.011,0.01,0.012,53340,5550,111
208,-0.011,0.009,0.012,59175,5650,113
209,-0.011,0.008,0.012,53460,5750,115
210,-0.011,0.007,0.012,47685,5850,117
211,-0.011,0.006,0.012,45435,6050,121
212,-0.011,0.005,0.012,58905,6250,125
213,-0.011,0.004,0.012,41700,6750,135
214,-0.011,0.003,0.012,15495,7100,142
215,-0.011,0.002,0.012,-17970,7250,145
216,-0.011,0.01,0.011,27945,5500,110
217,-0.011,0.009,0.011,58995,5650,113
218,-0.011,0.008,0.011,53280,5750,115
219,-0.011,0.007,0.011,47505,5850,117
220,-0.011,0.006,0.011,45255,6050,121
221,-0.011,0.005,0.011,58725,6250,125
222,-0.011,0.004,0.011,41520,6750,135
223,-0.011,0.003,0.011,15315,7100,142
224,-0.011,0.002,0.011,-13935,7250,145
225,-0.011,0.01,0.01,27945,5500,110
226,-0.011,0.009,0.01,58995,5650,113
227,-0.011,0.008,0.01,53280,5750,115
228,-0.011,0.007,0.01,47505,5850,117
229,-0.011,0.006,0.01,41895,5950,119
230,-0.011,0.005,0.01,55365,6150,123
231,-0.011,0.004,0.01,38160,6650,133
232,-0.011,0.003,0.01,11955,7000,140
233,-0.011,0.002,0.01,-17295,7150,143
234,-0.011,0.01,0.009,21240,5500,110
235,-0.011,0.009,0.009,52290,5650,113
236,-0.011,0.008,0.009,46575,5750,115
237,-0.011,0.007,0.009,40800,5850,117
238,-0.011,0.006,0.009,35190,5950,119
239,-0.011,0.005,0.009,48660,6150,123
240,-0.011,0.004,0.009,31455,6650,133
241,-0.011,0.003,0.009,5250,7000,140
242,-0.011,0.002,0.009,-24000,7150,143
243,-0.011,0.01,0.008,41895,5500,110
244,-0.011,0.009,0.008,70620,5550,111
245,-0.011,0.008,0.008,64905,5650,113
246,-0.011,0.007,0.008,59130,5750,115
247,-0.011,0.006,0.008,51195,5950,119
248,-0.011,0.005,0.008,64665,6150,123
249,-0.011,0.004,0.008,51525,6750,135
250,-0.011,0.003,0.008,25920,7000,140
251,-0.011,0.002,0.008,-20310,7050,141
252,-0.011,0.01,0.007,42750,5500,110
253,-0.011,0.009,0.007,71475,5550,111
254,-0.011,0.008,0.007,65760,5650,113
255,-0.011,0.007,0.007,59985,5750,115
256,-0.011,0.006,0.007,52050,5950,119
257,-0.011,0.005,0.007,65520,6150,123
258,-0.011,0.004,0.007,52380,6650,133
259,-0.011,0.003,0.007,34425,6750,135
260,-0.011,0.002,0.007,23580,6800,136
261,-0.011,0.01,0.006,22905,5700,114
262,-0.011,0.009,0.006,51630,5750,115
263,-0.011,0.008,0.006,51990,5850,117
264,-0.011,0.007,0.006,35970,6050,121
265,-0.011,0.006,0.006,28035,6250,125
266,-0.011,0.005,0.006,41505,6450,129
267,-0.011,0.004,0.006,40830,6550,131
268,-0.011,0.003,0.006,45795,6550,131
269,-0.011,0.002,0.006,34950,6600,132
270,-0.021,0.01,0.02,60795,4900,98
271,-0.021,0.009,0.02,61275,4950,99
272,-0.021,0.008,0.02,68775,4950,99
273,-0.021,0.007,0.02,66900,5150,103
274,-0.021,0.006,0.02,53535,5450,109
275,-0.021,0.005,0.02,55020,5700,114
276,-0.021,0.004,0.02,40875,6300,126
277,-0.021,0.003,0.02,41895,6600,132
278,-0.021,0.002,0.02,20220,6800,136
279,-0.021,0.01,0.019,60795,4900,98
280,-0.021,0.009,0.019,61275,4950,99
281,-0.021,0.008,0.019,68775,4950,99
282,-0.021,0.007,0.019,66900,5150,103
283,-0.021,0.006,0.019,53535,5450,109
284,-0.021,0.005,0.019,55020,5700,114
285,-0.021,0.004,0.019,40875,6300,126
286,-0.021,0.003,0.019,41895,6600,132
287,-0.021,0.002,0.019,20220,6800,136
288,-0.021,0.01,0.018,60795,4900,98
289,-0.021,0.009,0.018,61275,4950,99
290,-0.021,0.008,0.018,68775,4950,99
291,-0.021,0.007,0.018,66900,5150,103
292,-0.021,0.006,0.018,53535,5450,109
293,-0.021,0.005,0.018,55020,5700,114
294,-0.021,0.004,0.018,40875,6300,126
295,-0.021,0.003,0.018,41895,6600,132
296,-0.021,0.002,0.018,20220,6800,136
297,-0.021,0.01,0.017,60795,4900,98
298,-0.021,0.009,0.017,61275,4950,99
299,-0.021,0.008,0.017,68775,4950,99
300,-0.021,0.007,0.017,66900,5150,103
301,-0.021,0.006,0.017,53535,5450,109
302,-0.021,0.005,0.017,55020,5700,114
303,-0.021,0.004,0.017,40875,6300,126
304,-0.021,0.003,0.017,41895,6600,132
305,-0.021,0.002,0.017,20220,6800,136
306,-0.021,0.01,0.016,65910,4900,98
307,-0.021,0.009,0.016,66390,4950,99
308,-0.021,0.008,0.016,73890,4950,99
309,-0.021,0.007,0.016,72015,5150,103
310,-0.021,0.006,0.016,58650,5450,109
311,-0.021,0.005,0.016,60135,5700,114
312,-0.021,0.004,0.016,45990,6300,126
313,-0.021,0.003,0.016,47010,6600,132
314,-0.021,0.002,0.016,21120,6850,137
315,-0.021,0.01,0.015,65910,4900,98
316,-0.021,0.009,0.015,66390,4950,99
317,-0.021,0.008,0.015,73890,4950,99
318,-0.021,0.007,0.015,72015,5150,103
319,-0.021,0.006,0.015,58650,5450,109
320,-0.021,0.005,0.015,60135,5700,114
321,-0.021,0.004,0.015,45990,6300,126
322,-0.021,0.003,0.015,47010,6600,132
323,-0.021,0.002,0.015,21120,6850,137
324,-0.021,0.01,0.014,74910,4900,98
325,-0.021,0.009,0.014,75390,4950,99
326,-0.021,0.008,0.014,82890,4950,99
327,-0.021,0.007,0.014,81015,5150,103
328,-0.021,0.006,0.014,67650,5450,109
329,-0.021,0.005,0.014,69135,5700,114
330,-0.021,0.004,0.014,54990,6300,126
331,-0.021,0.003,0.014,47010,6600,132
332,-0.021,0.002,0.014,21120,6850,137
333,-0.021,0.01,0.013,57930,4800,96
334,-0.021,0.009,0.013,58410,4850,97
335,-0.021,0.008,0.013,65910,4850,97
336,-0.021,0.007,0.013,64035,5050,101
337,-0.021,0.006,0.013,50670,5350,107
338,-0.021,0.005,0.013,52155,5600,112
