,index,Datetime,Open,High,Low,Close,Adj_Close,Volume,mvAverageStrategy_T1,mvAverageStrategy_T2,trading_signal,liquidatePosition,deltacal,Stock_BUY_Sell
0,1822,2022-01-14 15:00:00+05:30,1930.8499755859375,1931.4000244140625,1930.75,1931.0,1931.0,28125.0,,,,,,
1,1823,2022-01-14 15:01:00+05:30,1931.0,1931.199951171875,1930.6500244140625,1930.949951171875,1930.949951171875,21491.0,,,,,,
2,1824,2022-01-14 15:02:00+05:30,1931.0,1931.0,1930.300048828125,1930.9000244140625,1930.9000244140625,15322.0,,,,,,
3,1825,2022-01-14 15:03:00+05:30,1931.0,1931.199951171875,1930.800048828125,1930.9000244140625,1930.9000244140625,24272.0,,,,,,
4,1826,2022-01-14 15:04:00+05:30,1931.0,1931.199951171875,1930.5,1930.8499755859375,1930.8499755859375,32948.0,,,,,,
5,1827,2022-01-14 15:05:00+05:30,1930.9000244140625,1931.949951171875,1930.800048828125,1931.9000244140625,1931.9000244140625,13265.0,,,,,,
6,1828,2022-01-14 15:06:00+05:30,1931.800048828125,1932.4000244140625,1931.050048828125,1931.050048828125,1931.050048828125,22759.0,,,,,,
7,1829,2022-01-14 15:07:00+05:30,1931.1500244140625,1932.199951171875,1930.0,1930.449951171875,1930.449951171875,37992.0,,,,,,
8,1830,2022-01-14 15:08:00+05:30,1930.75,1930.8499755859375,1929.449951171875,1929.949951171875,1929.949951171875,25912.0,,,,,,
9,1831,2022-01-14 15:09:00+05:30,1930.0,1930.0999755859375,1929.449951171875,1929.449951171875,1929.449951171875,22271.0,,,,,,
10,1832,2022-01-14 15:10:00+05:30,1929.3499755859375,1930.0,1929.3499755859375,1929.550048828125,1929.550048828125,17293.0,,,,,,
11,1833,2022-01-14 15:11:00+05:30,1929.75,1931.0,1929.75,1930.550048828125,1930.550048828125,26623.0,,,,,,
12,1834,2022-01-14 15:12:00+05:30,1930.550048828125,1930.800048828125,1930.300048828125,1930.5999755859375,1930.5999755859375,17338.0,,,,,,
13,1835,2022-01-14 15:13:00+05:30,1930.550048828125,1930.800048828125,1930.0,1930.0,1930.0,24766.0,,,,,,
14,1836,2022-01-14 15:14:00+05:30,1930.0,1930.3499755859375,1929.0,1929.0,1929.0,26222.0,,,,,,
15,1837,2022-01-14 15:15:00+05:30,1929.0,1930.8499755859375,1929.0,1929.699951171875,1929.699951171875,40766.0,,,,,,
16,1838,2022-01-14 15:16:00+05:30,1930.0,1930.3499755859375,1929.0,1929.1500244140625,1929.1500244140625,27164.0,,,,,,
17,1839,2022-01-14 15:17:00+05:30,1929.4000244140625,1930.0,1929.0,1930.0,1930.0,23945.0,,,,,,
18,1840,2022-01-14 15:18:00+05:30,1929.8499755859375,1930.5,1929.199951171875,1929.800048828125,1929.800048828125,34180.0,,,,,,
19,1841,2022-01-14 15:19:00+05:30,1930.0,1930.0,1929.0999755859375,1929.0999755859375,1929.0999755859375,39037.0,,,,,,
20,1842,2022-01-14 15:20:00+05:30,1929.199951171875,1929.9000244140625,1927.5,1928.9000244140625,1928.9000244140625,50235.0,,,,,,
21,1843,2022-01-14 15:21:00+05:30,1928.4000244140625,1929.0,1927.300048828125,1928.0,1928.0,26246.0,,,,,,
22,1844,2022-01-14 15:22:00+05:30,1928.0,1928.0,1926.6500244140625,1926.800048828125,1926.800048828125,22698.0,,,,,,
23,1845,2022-01-14 15:23:00+05:30,1926.800048828125,1928.0,1926.0,1927.0,1927.0,33856.0,,,,,,
24,1846,2022-01-14 15:24:00+05:30,1926.9000244140625,1928.0,1926.800048828125,1927.949951171875,1927.949951171875,23004.0,,,,,,
25,1847,2022-01-14 15:25:00+05:30,1927.949951171875,1927.949951171875,1927.050048828125,1927.1500244140625,1927.1500244140625,19860.0,,,,,,
26,1848,2022-01-14 15:26:00+05:30,1927.449951171875,1928.0,1927.0999755859375,1927.9000244140625,1927.9000244140625,16197.0,,,,,,
27,1849,2022-01-14 15:27:00+05:30,1927.9000244140625,1928.699951171875,1927.050048828125,1927.5999755859375,1927.5999755859375,25482.0,,,,,,
28,1850,2022-01-14 15:28:00+05:30,1927.449951171875,1927.949951171875,1926.0,1926.5,1926.5,17121.0,1927.6714390345983,1929.05,-1.0,1.0,1946.875975341797,-300.0
